time_s,trolley_x_m,support_down_m,payload_x_m,payload_down_m,chord_angle_rad,material_length_m,arc_length_m,min_axial_force_N,ale_generalized_force_norm
0.62,0.0234043648228367,0.0412129016449354,0.0238320629568197,2.04623824465431,0.000213313078055145,2,2.00502558370836,49.2856798345098,0
0.64,0.0248911691919884,0.0412153489573081,0.0196965254579804,2.04623294649099,-0.00259081621910644,2,2.00502445403132,49.2733489089714,0
0.66,0.0264230030324039,0.0412202823800385,0.0155692835764338,2.04621099678961,-0.00541329860499858,2,2.00502011618164,49.2309908633315,0
0.68,0.0280000262772775,0.0412262758438487,0.011463061467281,2.04617553094924,-0.00824788446699494,2,2.00501747956431,49.2056140060049,0
0.7,0.0296224743917734,0.0412321223565738,0.00739024408441846,2.0461285047888,-0.0110885127560077,2,2.00501976049358,49.2279984871136,0
0.72,0.0312907305123247,0.0412375471104664,0.00336270111991564,2.04606834993083,-0.0139294662859435,2,2.00502545969343,49.2829972171549,0
0.74,0.0330045651393877,0.0412429350270423,-0.000608279942424343,2.04599104184364,-0.0167650468190879,2,2.00502992981334,49.3272691533031,0
0.76,0.0347633309655198,0.0412484286170998,-0.00451197293251052,2.04589346172431,-0.0195896426057159,2,2.00502974840996,49.3263622760542,0
0.78,0.0365662560777746,0.0412532997501251,-0.00833781212228095,2.04577591054228,-0.022397631705492,2,2.00502554996376,49.2847249485306,0
0.8,0.0384126368967805,0.0412561807564862,-0.0120766443516128,2.045641620865,-0.0251840817209232,2,2.00502133517479,49.2418738687617,0
0.82,0.0403017915838387,0.0412559628821314,-0.0157184271226691,2.04549390247474,-0.0279436067954617,2,2.0050207363403,49.2363773247861,0
0.84,0.0422330754413997,0.0412525781040584,-0.0192513476652984,2.04533351392178,-0.0306699906139482,2,2.00502387825533,49.2687368179201,0
0.86,0.0442056962441819,0.0412469894446098,-0.0226628999324506,2.04515858325893,-0.0333566579107825,2,2.00502705214982,49.3000224182305,0
0.88,0.0462189327631476,0.0412403875574439,-0.0259412399319491,2.04496727157362,-0.0359974215289987,2,2.00502606887193,49.2893963083318,0
0.9,0.0482720319063653,0.0412332928708477,-0.0290754076199056,2.04476079356395,-0.0385864669970155,2,2.00502023606382,49.2314093945723,0
0.92,0.0503636414383563,0.0412253783030458,-0.0320554346069559,2.04454388181304,-0.0411180858678461,2,2.0050133250905,49.1645099217353,0
0.94,0.0524919187758907,0.0412162119327518,-0.0348720754226917,2.04432204460969,-0.0435866448933306,2,2.00501010521239,49.1325969185752,0
0.96,0.0546548703539681,0.0412061738672061,-0.0375163723553948,2.0440981318952,-0.0459866342276652,2,2.00501166745699,49.1474547828519,0
0.98,0.0568504734193095,0.0411965921053884,-0.0399807770318899,2.04387147529198,-0.0483133328702367,2,2.00501450177639,49.1751589818668,0
1,0.0590766545620386,0.0411889305224923,-0.0422567216889588,2.04364053931448,-0.0505615263026651,2,2.00501395311519,49.1713212111877,0
1.02,0.061331437304245,0.0411837927846269,-0.0443342348649207,2.04340631278801,-0.0527252778821169,2,2.0050088391308,49.1206316955983,0
1.04,0.0636126689427969,0.0411806516139096,-0.0462034021863826,2.04317312899799,-0.0547984715913286,2,2.00500233820178,49.055694432294,0
1.06,0.0659184034461799,0.0411785341918318,-0.0478552659581072,2.04294631518773,-0.0567755140988175,2,2.00499886481084,49.0208052779906,0
1.08,0.0682464948241474,0.041176923099348,-0.0492815904405085,2.04272897853536,-0.058651130382395,2,2.00500004355615,49.0337344566383,0
1.1,0.0705941446989351,0.0411760756495495,-0.0504753376576622,2.0425207587715,-0.0604204367759406,2,2.00500355278038,49.0683716686435,0
1.12,0.0729581362336578,0.0411765597235596,-0.0514297070099594,2.04231957558121,-0.0620785295692554,2,2.00500522122729,49.0842085188881,0
1.14,0.0753351879051876,0.0411784410656692,-0.0521390671129966,2.04212462556319,-0.0636210108540018,2,2.00500258817359,49.0577817922366,0
1.16,0.0777221323061141,0.0411808603296425,-0.052599338829921,2.04193814334057,-0.0650441883598138,2,2.00499713928103,49.0051270344605,0
1.18,0.0801159454866173,0.0411824330506221,-0.0528056744328636,2.04176446773643,-0.0663439645265943,2,2.00499295756223,48.964057307268,0
1.2,0.0825136653053355,0.0411821615499115,-0.0527520580261114,2.04160708911828,-0.0675157205179085,2,2.00499307562103,48.964538099936,0
1.22,0.0849122178801951,0.0411800687707564,-0.0524322102837167,2.04146641109966,-0.0685547843519518,2,2.00499637959345,48.9966177173029,0
1.24,0.0873087840987013,0.0411769837852846,-0.051840950560718,2.04134047114838,-0.0694572700053798,2,2.00499852390034,49.0186869246267,0
1.26,0.0897004600007758,0.0411736169019709,-0.0509740737283494,2.04122809773465,-0.0702197095202286,2,2.00499613274033,48.9955217554883,0
